School,SchoolTerm,CourseCode,ForceSync,Server
0 QA School ESW,2122FY,EDCB.MA008.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC014.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL009.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL009.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL009.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL009.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL010.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL010.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL010.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL010.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL005.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL005.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA114.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA114.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA114.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA114.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA115.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA115.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA115.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA115.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA116.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA116.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA116.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA116.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA117.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA117.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA117.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA117.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL015.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC012.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC002.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC002.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL001.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL001.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS006.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS006.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL008.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS005.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS005.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL017.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL017.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC011.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL014.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC003.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC003.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC003.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC003.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC006.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC006.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC006.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SC006.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA001.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA001.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA001.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA001.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA010.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS009.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS009.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.LA006.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.MA012.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.EL018.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS008.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.SS008.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL001.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL001.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL001.C,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL001.D,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL002.A,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL002.B,TRUE,esw-pulse
0 QA School ESW,2122FY,EDCB.FL002.C,TRUE,esw-pulse
